#disease	phenotype	onset	frequency	severity
MONDO:0007047	HP:0000962		HP:0040281	
MONDO:0007047	HP:0200016		HP:0040281	
MONDO:0007048	HP:0000006			
MONDO:0007048	HP:0000962			
MONDO:0007048	HP:0001807			
MONDO:0007048	HP:0025092			
MONDO:0007048	HP:0200016			
MONDO:0007049	HP:0000006			
MONDO:0007049	HP:0200015			
MONDO:0007050	HP:0000006			
MONDO:0007050	HP:0000098			
MONDO:0007050	HP:0000303			
MONDO:0007050	HP:0000478			
MONDO:0007050	HP:0000977			
MONDO:0007050	HP:0001176			
MONDO:0007050	HP:0001833			
MONDO:0007050	HP:0010541			
MONDO:0007050	HP:0030314			
MONDO:0007051	HP:0000006			
MONDO:0007051	HP:0000153			
MONDO:0007051	HP:0000414		HP:0040281	
MONDO:0007051	HP:0000581		HP:0040281	
MONDO:0007051	HP:0001176		HP:0040281	
MONDO:0007051	HP:0001182		HP:0040283	
MONDO:0007051	HP:0001256		HP:0040283	
MONDO:0007051	HP:0001328		HP:0040283	
MONDO:0007051	HP:0001520			
MONDO:0007051	HP:0002553		HP:0040282	
MONDO:0007052	HP:0000006			
MONDO:0007052	HP:0000280			
MONDO:0007052	HP:0000822			
MONDO:0007052	HP:0000845			
MONDO:0007052	HP:0000858			
MONDO:0007052	HP:0000870			
MONDO:0007052	HP:0001428			
MONDO:0007052	HP:0001638			
MONDO:0007052	HP:0001712			
MONDO:0007052	HP:0002893			
MONDO:0007052	HP:0006767			
MONDO:0007052	HP:0011760			
MONDO:0007052	HP:0030269			
MONDO:0007052	HP:0040278			
MONDO:0007052	HP:0100829			
MONDO:0007053	HP:0000006			
MONDO:0007053	HP:0001336			
MONDO:0007053	HP:0001425			
MONDO:0007053	HP:0003401			
MONDO:0007053	HP:0008991			
MONDO:0007053	HP:0012452			
MONDO:0007053	HP:0100785			
MONDO:0007054	HP:0000006			
MONDO:0007054	HP:0000951			
MONDO:0007055	HP:0000006			
MONDO:0007055	HP:0000160		HP:0040282	
MONDO:0007055	HP:0000179		HP:0040282	
MONDO:0007055	HP:0000311		HP:0040281	
MONDO:0007055	HP:0000343		HP:0040281	
MONDO:0007055	HP:0000414		HP:0040282	
MONDO:0007055	HP:0000463		HP:0040281	
MONDO:0007055	HP:0000527		HP:0040281	
MONDO:0007055	HP:0001072			
MONDO:0007055	HP:0001609		HP:0040283	
MONDO:0007055	HP:0001773			
MONDO:0007055	HP:0002002			
MONDO:0007055	HP:0002750		HP:0040283	
MONDO:0007055	HP:0003026			
MONDO:0007055	HP:0003300		HP:0040283	
MONDO:0007055	HP:0003510		HP:0040281	
MONDO:0007055	HP:0004279		HP:0040281	
MONDO:0007055	HP:0005900		HP:0040283	
MONDO:0007055	HP:0009803			
MONDO:0007055	HP:0010049		HP:0040283	
MONDO:0007055	HP:0010579			
MONDO:0007056	HP:0000006			
MONDO:0007056	HP:0003621			
MONDO:0007056	HP:0009771			
MONDO:0007056	HP:0010177			
MONDO:0007057	HP:0000006			
MONDO:0007057	HP:0000023		HP:0040283	
MONDO:0007057	HP:0000028			
MONDO:0007057	HP:0000047		HP:0040283	
MONDO:0007057	HP:0000107			
MONDO:0007057	HP:0000218			
MONDO:0007057	HP:0000238		HP:0040283	
MONDO:0007057	HP:0000280		HP:0040282	
MONDO:0007057	HP:0000286			
MONDO:0007057	HP:0000293		HP:0040282	
MONDO:0007057	HP:0000343		HP:0040281	
MONDO:0007057	HP:0000347		HP:0040281	
MONDO:0007057	HP:0000369		HP:0040283	
MONDO:0007057	HP:0000405			
MONDO:0007057	HP:0000445		HP:0040282	
MONDO:0007057	HP:0000463		HP:0040282	
MONDO:0007057	HP:0000470		HP:0040282	
MONDO:0007057	HP:0000494		HP:0040281	
MONDO:0007057	HP:0000506		HP:0040282	
MONDO:0007057	HP:0000527			
MONDO:0007057	HP:0000574		HP:0040281	
MONDO:0007057	HP:0000664		HP:0040283	
MONDO:0007057	HP:0000689			
MONDO:0007057	HP:0000938		HP:0040281	
MONDO:0007057	HP:0000939		HP:0040281	
MONDO:0007057	HP:0001007			
MONDO:0007057	HP:0001388			
MONDO:0007057	HP:0001508		HP:0040283	
MONDO:0007057	HP:0001537		HP:0040283	
MONDO:0007057	HP:0001643		HP:0040283	
MONDO:0007057	HP:0001671			
MONDO:0007057	HP:0001799			
MONDO:0007057	HP:0001842			
MONDO:0007057	HP:0002566		HP:0040283	
MONDO:0007057	HP:0002645		HP:0040282	
MONDO:0007057	HP:0002688		HP:0040282	
MONDO:0007057	HP:0002751			
MONDO:0007057	HP:0002756			
MONDO:0007057	HP:0002857			
MONDO:0007057	HP:0002953			
MONDO:0007057	HP:0003083			
MONDO:0007057	HP:0004322		HP:0040281	
MONDO:0007057	HP:0004586		HP:0040282	
MONDO:0007057	HP:0005463			
MONDO:0007057	HP:0005758			
MONDO:0007057	HP:0006180			
MONDO:0007057	HP:0006480			
MONDO:0007057	HP:0008421			
MONDO:0007057	HP:0008462			
MONDO:0007057	HP:0009748			
MONDO:0007057	HP:0009771			
MONDO:0007058	HP:0000006			
MONDO:0007058	HP:0000765			
MONDO:0007058	HP:0001241			
MONDO:0007058	HP:0001770			
MONDO:0007058	HP:0002652			
MONDO:0007058	HP:0003468			
MONDO:0007058	HP:0004601			
MONDO:0007058	HP:0004614			
MONDO:0007058	HP:0005048		HP:0040281	
MONDO:0007058	HP:0006101		HP:0040281	
MONDO:0007058	HP:0009467			
MONDO:0007058	HP:0009611			
MONDO:0007058	HP:0009778			
MONDO:0007058	HP:0011304		HP:0040281	
MONDO:0007059	HP:0001180			
MONDO:0007059	HP:0012210			
MONDO:0007060	HP:0000007			
MONDO:0007060	HP:0000789			
MONDO:0007060	HP:0012205			
MONDO:0007062	HP:0000006			
MONDO:0007062	HP:0001597			
MONDO:0007062	HP:0009776			HP:0012833
MONDO:0007062	HP:0009778		HP:0040281	HP:0012825
MONDO:0002422	HP:0000006			
